No,surname,first_name,Games,Age,Date of Birth,Height,Weight,Origin,Position_1,Position_2
10,Darcy,Sam,4,19yr 7mth,19 Jul 2003,204cm,73kg,Oakleigh Chargers,Defender,Forward
15,Duryea,Taylor,172,31yr 10mth,24 Apr 1991,181cm,79kg,Murray Bushrangers,Defender,NA
44,English,Timothy,85,25yr 6mth,10 Aug 1997,207cm,103kg,South Fremantle,Ruck,NA
12,Gallagher,Harvey,0,19yr 5mth,26 Sep 2003,179cm,77kg,Bendigo Pioneers,Defender,Forward
38,Garcia,Riley,16,22yr,30 Jan 2001,177cm,72kg,Swan Districts,Forward,NA
43,Gardner,Ryan,43,25yr 8mth,1 Jun 1997,197cm,95kg,Burnie Dockers,Defender,NA
29,Hannan,Mitchell,74,28yr 11mth,9 Mar 1994,190cm,88kg,Footscray,Defender,NA
39,Johannisen,Jason,176,30yr 3mth,8 Nov 1992,181cm,81kg,East Fremantle,Forward,NA
32,Jones,Arthur,0,19yr 7mth,18 Jul 2003,179cm,65kg,Claremont,Forward,NA
19,Jones,Liam,161,32yr,24 Feb 1991,199cm,97kg,Scotch College,Defender,NA
42,Keath,Alex,86,31yr 1mth,20 Jan 1992,197cm,99kg,Murray Bushrangers,Defender,NA
24,Khamis,Buku,9,22yr 11mth,24 Mar 2000,190cm,85kg,Western Jets,Defender,Forward
21,Liberatore,Thomas,195,30yr 9mth,16 May 1992,184cm,85kg,Calder Cannons,Midfield,NA
7,Lobb,Rory,140,30yr,9 Feb 1993,207cm,106kg,Swan Districts,Forward,NA
11,Macrae,Jackson,208,28yr 6mth,3 Aug 1994,192cm,88kg,Oakleigh Chargers,Midfield,NA
27,McComb,Robbie,15,27yr 2mth,19 Dec 1995,180cm,82kg,Footscray,Midfield,Forward
16,McLean,Toby,96,27yr,31 Jan 1996,181cm,83kg,Oakleigh Chargers,Midfield,Forward
30,McNeil,Lachlan,29,21yr 5mth,2 Sep 2001,184cm,78kg,Woodville-west Torrens,Midfield,Forward
33,Naughton,Aaron,100,23yr 2mth,30 Nov 1999,195cm,93kg,Peel Thunder,Forward,NA
22,O'Brien,Tim,108,28yr 11mth,28 Mar 1994,193cm,92kg,Glenelg,Defender,NA
40,Raak,Cody,0,20yr 4mth,8 Oct 2002,192cm,80kg,Western Jets,Defender,Forward
20,Richards,Ed,85,23yr 7mth,3 Jul 1999,188cm,86kg,Oakleigh Chargers,Defender,NA
28,Scott,Anthony,35,28yr,28 Feb 1995,180cm,77kg,Footscray,Midfield,NA
6,Smith,Bailey,84,22yr 2mth,7 Dec 2000,185cm,86kg,Sandringham Dragons,Midfield,NA
37,Smith,Roarke,47,26yr 5mth,11 Sep 1996,184cm,82kg,Calder Cannons,Midfield,NA
41,Sweet,Jordon,11,25yr,2 Feb 1998,205cm,103kg,North Adelaide,Ruck,NA
1,Treloar,Adam,212,29yr 11mth,9 Mar 1993,184cm,89kg,Aspendale,Midfield,NA
2,Ugle-Hagan,Jamarra,22,20yr 10mth,4 Apr 2002,197cm,91kg,Oakleigh Chargers,Forward,NA
23,Vandermeer,Laitham,33,24yr,3 Feb 1999,181cm,79kg,Murray Bushrangers,Forward,NA
3,Weightman,Cody,40,22yr 1mth,15 Jan 2001,178cm,74kg,Dandenong Stingrays,Forward,NA
14,West,Rhylee,25,22yr 7mth,12 Jul 2000,182cm,81kg,Calder Cannons,Forward,NA
34,Williams,Bailey,104,25yr 4mth,10 Oct 1997,189cm,86kg,Glenelg,Defender,Midfield
13,Acres,Blake,120,27yr 4mth,7 Oct 1995,189cm,91kg,West Perth,Midfield,NA
41,Akuei,Domanic,0,20yr 9mth,12 May 2002,194cm,76kg,Carlton Academy,Defender,Ruck
32,Binns,Jaxon,0,18yr 3mth,29 Oct 2004,182cm,71kg,Dandenong Stingrays,Midfield,Forward
37,Boyd,Jordan,7,24yr 5mth,22 Sep 1998,182cm,81kg,Footscray,Defender,NA
16,Carroll,Jack,5,20yr 2mth,20 Dec 2002,188cm,81kg,East Fremantle,Forward,NA
5,Cerra,Adam,94,23yr 4mth,7 Oct 1999,187cm,86kg,Eastern Ranges,Midfield,NA
0,Cincotta,Alex,0,26yr 2mth,17 Dec 1996,186cm,86kg,Newtown,Defender,Midfield
46,Cottrell,Matt,37,22yr 11mth,29 Feb 2000,185cm,80kg,Dandenong Stingrays,Midfield,Forward
26,Cowan,Lachlan,0,18yr 2mth,1 Dec 2004,187cm,81kg,Tasmania Devils,Defender,NA
9,Cripps,Patrick,159,27yr 11mth,18 Mar 1995,195cm,95kg,East Fremantle,Midfield,NA
28,Cuningham,David,41,25yr 10mth,30 Mar 1997,186cm,84kg,Oakleigh Chargers,Midfield,Forward
30,Curnow,Charlie,84,26yr,3 Feb 1997,192cm,94kg,Geelong Falcons,Forward,NA
35,Curnow,Edward,204,33yr 3mth,7 Nov 1989,179cm,86kg,Geelong Falcons,Midfield,NA
12,De Koning,Tom,41,23yr 7mth,16 Jul 1999,203cm,100kg,Dandenong Stingrays,Ruck,NA
15,Docherty,Sam,144,29yr 4mth,17 Oct 1993,185cm,85kg,Gippsland Power,Defender,NA
2,Dow,Paddy,63,23yr 4mth,16 Oct 1999,187cm,83kg,Bendigo Pioneers,Midfield,NA
19,Durdin,Corey,23,20yr 10mth,14 Apr 2002,173cm,77kg,Central Districts,Forward,NA
38,Durdin,Sam,23,26yr 8mth,6 Jun 1996,198cm,97kg,West Adelaide,Defender,NA
25,Fisher,Zac,95,24yr 8mth,15 Jun 1998,179cm,76kg,Perth,Forward,NA
8,Fogarty,Lachlan,43,23yr 10mth,1 Apr 1999,180cm,78kg,Western Jets,Midfield,Forward
29,Hewett,George,135,27yr 1mth,29 Dec 1995,187cm,84kg,North Adelaide,Midfield,NA
14,Hollands,Oliver,0,19yr 1mth,16 Jan 2004,183cm,71kg,Murray Bushrangers,Midfield,NA
36,Honey,Josh,11,21yr 4mth,17 Oct 2001,186cm,84kg,Western Jets,Forward,NA
17,Kemp,Brodie,6,21yr 9mth,1 May 2001,193cm,81kg,Bendigo Pioneers,Defender,Forward
7,Kennedy,Matthew,78,25yr 10mth,6 Apr 1997,190cm,90kg,Collingullie Ashmont Kapooka,Midfield,NA
31,Lemmey,Harry,0,19yr,30 Jan 2004,200cm,95kg,West Adelaide,Forward,NA
22,Marchbank,Caleb,52,26yr 2mth,7 Dec 1996,193cm,94kg,Murray Bushrangers,Defender,NA
21,Martin,Jack,135,28yr,29 Jan 1995,186cm,80kg,Geraldton,Forward,NA
11,McGovern,Mitch,88,28yr 4mth,11 Oct 1994,191cm,89kg,Claremont,Defender,NA
10,McKay,Harry,86,25yr 2mth,24 Dec 1997,204cm,105kg,Gippsland Power,Forward,NA
45,Mirkov,Alex,0,23yr 3mth,17 Nov 1999,210cm,104kg,Carlton,Ruck,NA
3,Motlop,Jesse,12,19yr 3mth,23 Nov 2003,179cm,80kg,South Fremantle,Forward,NA
24,Newman,Nic,86,30yr 1mth,15 Jan 1993,187cm,83kg,Frankston,Defender,NA
4,O'Brien,Lochie,60,23yr 5mth,18 Sep 1999,185cm,82kg,Bendigo Pioneers,Midfield,NA
0,O'Keeffe,Hudson,0,18yr 2mth,16 Dec 2004,202cm,90kg,Oakleigh Chargers,Ruck,NA
44,Owies,Matt,31,25yr 11mth,19 Mar 1997,180cm,81kg,St Kevins,Forward,NA
34,Philp,Sam,2,21yr 6mth,4 Aug 2001,186cm,80kg,Northern Knights,Forward,NA
27,Pittonet,Marc,41,26yr 8mth,3 Jun 1996,202cm,102kg,Oakleigh Chargers,Ruck,NA
20,Plowman,Lachlan,144,28yr 5mth,11 Sep 1994,193cm,86kg,Calder Cannons,Defender,NA
42,Saad,Adam,152,28yr 7mth,23 Jul 1994,178cm,76kg,Coburg,Defender,NA
1,Silvagni,Jack,99,25yr 2mth,17 Dec 1997,194cm,91kg,Oakleigh Chargers,Forward,NA
18,Walsh,Sam,81,22yr 7mth,2 Jul 2000,184cm,83kg,Geelong Falcons,Midfield,NA
23,Weitering,Jacob,133,25yr 3mth,23 Nov 1997,196cm,101kg,Mount Eliza Football Club,Defender,NA
6,Williams,Zachary,136,28yr 5mth,20 Sep 1994,185cm,86kg,Narrandera,Defender,NA
33,Young,Lewis,43,24yr 2mth,20 Dec 1998,201cm,100kg,Sturt,Defender,NA
27,Adams,Oscar,0,19yr 7mth,23 Jul 2003,197cm,85kg,Glenelg,Defender,NA
30,Allison,Matthew,0,21yr,29 Jan 2002,195cm,79kg,Calder Cannons,Defender,Forward
26,Battle,Josh,77,24yr 5mth,1 Sep 1998,193cm,92kg,Dandenong Stingrays,Defender,NA
15,Billings,Jack,152,27yr 6mth,18 Aug 1995,185cm,82kg,Oakleigh Chargers,Midfield,NA
16,Butler,Daniel,105,26yr 8mth,3 Jun 1996,182cm,80kg,North Ballarat Rebels,Forward,NA
13,Byrnes,Ryan,28,21yr 9mth,3 May 2001,180cm,81kg,Sandringham Dragons,Midfield,Forward
23,Bytel,Jack,16,22yr 11mth,14 Mar 2000,189cm,84kg,Calder Cannons,Midfield,NA
47,Caminiti,Anthony,0,19yr 2mth,9 Dec 2003,196cm,83kg,Northern Knights,Forward,NA
38,Campbell,Tom,56,31yr 3mth,2 Nov 1991,201cm,105kg,Bendigo Bombers,Forward,Ruck
11,Clark,Hunter,68,23yr 11mth,26 Mar 1999,186cm,83kg,Dandenong Stingrays,Defender,NA
1,Coffield,Nicholas,52,23yr 4mth,23 Oct 1999,191cm,88kg,Northern Knights,Defender,NA
37,Connolly,Leo,7,21yr 6mth,7 Aug 2001,181cm,78kg,Gippsland Power,Defender,NA
21,Cordy,Zaine,118,26yr 4mth,27 Oct 1996,195cm,92kg,Geelong Falcons,Defender,NA
5,Crouch,Brad,136,29yr 1mth,14 Jan 1994,186cm,85kg,North Ballarat Rebels,Midfield,NA
4,Gresham,Jade,113,25yr 6mth,24 Aug 1997,177cm,80kg,Northern Knights,Midfield,Forward
18,Hayes,Jack,5,25yr 11mth,6 Mar 1997,193cm,91kg,Woodville-West Torrens,Forward,NA
42,Heath,Max,0,20yr 4mth,24 Oct 2002,204cm,93kg,Sandringham Dragons,Forward,Ruck
22,Higgins,Jack,80,23yr 11mth,19 Mar 1999,178cm,79kg,Oakleigh Chargers,Forward,NA
34,Highmore,Tom,16,25yr,24 Feb 1998,193cm,89kg,South Adelaide,Defender,NA
8,Hill,Bradley,211,29yr 7mth,9 Jul 1993,182cm,80kg,West Perth,Defender,Forward
39,Hotton,Olli,0,18yr 5mth,6 Sep 2004,182cm,79kg,Sandringham Dragons,Midfield,Forward
20,Howard,Dougal,102,26yr 11mth,25 Mar 1996,199cm,97kg,Murray Bushrangers,Defender,NA
3,Jones,Zak,132,27yr 11mth,15 Mar 1995,182cm,80kg,Dandenong Stingrays,Midfield,NA
40,Keeler,Isaac,0,18yr 10mth,23 Apr 2004,198cm,89kg,North Adelaide,Forward,Ruck
12,King,Max,60,22yr 7mth,7 Jul 2000,202cm,97kg,Sandringham Dragons,Forward,NA
19,Marshall,Rowan,86,27yr 3mth,24 Nov 1995,201cm,105kg,North Ballarat,Ruck,NA
36,McKenzie,Daniel,73,26yr 9mth,17 May 1996,184cm,83kg,Oakleigh Chargers,Midfield,NA
41,McLennan,Angus,,,,,,,,NA
28,Membrey,Tim,153,28yr 9mth,26 May 1994,188cm,88kg,Gippsland Power,Forward,NA
10,Owens,Mitchito,7,19yr 5mth,24 Sep 2003,190cm,85kg,Sandringham Dragons,Forward,NA
33,Paton,Ben,55,24yr 4mth,19 Oct 1998,186cm,83kg,Murray Bushrangers,Defender,NA
45,Peris,Jack,0,19yr 2mth,17 Dec 2003,176cm,69kg,Sandringham Dragons,Midfield,Forward
25,Phillipou,Mattaes,0,18yr 2mth,27 Dec 2004,190cm,89kg,Eagles,Midfield,Forward
6,Ross,Sebastian,181,29yr 9mth,7 May 1993,187cm,86kg,North Ballarat Rebels,Midfield,NA
43,Sharman,Cooper,15,22yr 7mth,25 Jul 2000,193cm,83kg,Woodville-West Torrens,Defender,Forward
35,Sinclair,Jack,141,28yr,12 Feb 1995,181cm,82kg,Oakleigh Chargers,Defender,NA
9,Steele,Jack,137,27yr 2mth,13 Dec 1995,187cm,91kg,Belconnen,Midfield,NA
14,Stocker,Liam,28,23yr 1mth,23 Jan 2000,184cm,85kg,Sandringham Dragons,Defender,NA
31,Van Es,James,0,18yr 6mth,7 Aug 2004,197cm,98kg,Greater Western Victoria Rebels,Defender,NA
7,Wanganeen-Milera,Nasiah,17,20yr,22 Feb 2003,187cm,71kg,Glenelg,Midfield,NA
29,Webster,Jimmy,133,29yr 8mth,28 Jun 1993,188cm,84kg,Glenorchy,Defender,NA
44,Wilkie,Callum,85,26yr 11mth,10 Mar 1996,191cm,88kg,North Adelaide,Defender,NA
17,Windhager,Marcus,18,19yr 9mth,16 May 2003,185cm,85kg,Sandringham Dragons,Midfield,Forward
32,Wood,Mason,93,29yr 5mth,13 Sep 1993,192cm,87kg,Geelong Falcons,Midfield,NA
13,Adams,Taylor,183,29yr 5mth,20 Sep 1993,181cm,84kg,Geelong Falcons,Midfield,NA
16,Allan,Edward,0,18yr 9mth,26 May 2004,194cm,83kg,Claremont,Midfield,NA
39,Begg,Aiden,3,20yr 4mth,8 Oct 2002,197cm,87kg,Eastern Ranges,Forward,Ruck
8,Bianco,Trent,22,22yr 1mth,20 Jan 2001,188cm,73kg,Oakleigh Chargers,Midfield,Forward
14,Cameron,Darcy,53,27yr 7mth,18 Jul 1995,204cm,101kg,Claremont,Forward,Ruck
45,Carmichael,Josh,7,23yr 1mth,1 Jan 2000,189cm,88kg,West Adelaide,Midfield,Forward
46,Cox,Mason,94,31yr 11mth,14 Mar 1991,211cm,109kg,Oklahoma State,Forward,Ruck
25,Crisp,Jack,200,29yr 4mth,2 Oct 1993,190cm,90kg,Murray Bushrangers,Midfield,NA
7,Daicos,Josh,77,24yr 3mth,26 Nov 1998,178cm,77kg,Oakleigh Chargers,Midfield,NA
35,Daicos,Nick,25,20yr 1mth,3 Jan 2003,182cm,73kg,Oakleigh Chargers,Defender,NA
2,De Goey,Jordan,137,26yr 11mth,15 Mar 1996,188cm,92kg,Oakleigh Chargers,Midfield,NA
43,Dean,Charlie,0,21yr 8mth,19 Jun 2001,195cm,86kg,Williamstown VFL,Defender,NA
19,Draper,Arlo,0,20yr,30 Jan 2003,186cm,75kg,South Adelaide,Defender,NA
5,Elliott,Jamie,155,30yr 6mth,21 Aug 1992,178cm,79kg,Murray Bushrangers,Forward,NA
17,Frampton,Billy,24,26yr 3mth,20 Nov 1996,202cm,97kg,South Fremantle,Defender,NA
33,Ginnivan,Jack,28,20yr 2mth,9 Dec 2002,184cm,78kg,Bendigo Pioneers,Forward,NA
36,Harrison,Harvey,0,19yr 4mth,11 Oct 2003,178cm,70kg,North Adelaide,Forward,NA
23,Hill,Bobby,41,23yr,9 Feb 2000,175cm,73kg,Perth,Forward,NA
32,Hoskin-Elliott,Will,181,29yr 5mth,2 Sep 1993,186cm,81kg,Western Jets,Forward,NA
38,Howe,Jeremy,219,32yr 7mth,29 Jun 1990,190cm,85kg,Hobart,Defender,NA
40,Johnson,Ash,9,25yr 4mth,6 Oct 1997,193cm,85kg,Sturt,Forward,NA
20,Kelly,Will,3,22yr 6mth,16 Aug 2000,194cm,93kg,Oakleigh Chargers,Defender,NA
15,Kreuger,Nathan,7,23yr 8mth,25 Jun 1999,196cm,88kg,South Adelaide,Forward,NA
1,Lipinski,Patrick,81,24yr 7mth,17 Jul 1998,187cm,84kg,Northern Knights,Midfield,Forward
18,Macrae,Finlay,11,20yr 11mth,13 Mar 2002,187cm,81kg,Oakleigh Chargers,Midfield,Forward
37,Markov,Oleg,51,26yr 9mth,8 May 1996,188cm,85kg,North Adelaide,Defender,NA
4,Maynard,Brayden,161,26yr 5mth,20 Sep 1996,189cm,93kg,Sandringham Dragons,Defender,NA
31,McCreery,Beau,35,21yr 10mth,19 Apr 2001,186cm,83kg,South Adelaide,Forward,NA
26,McInnes,Reef,6,20yr 2mth,12 Dec 2002,193cm,85kg,Oakleigh Chargers,Forward,NA
11,McStay,Daniel,161,27yr 8mth,24 Jun 1995,195cm,97kg,Eastern Ranges,Forward,NA
41,Mihocek,Brody,102,30yr,4 Feb 1993,192cm,97kg,Port Melbourne,Forward,NA
6,Mitchell,Tom,171,29yr 8mth,31 May 1993,182cm,83kg,Claremont,Midfield,NA
30,Moore,Darcy,126,27yr 1mth,25 Jan 1996,203cm,100kg,Oakleigh Chargers,Defender,NA
27,Murley,Cooper,0,19yr 8mth,20 Jun 2003,178cm,70kg,Norwood,Midfield,Forward
28,Murphy,Nathan,33,23yr 2mth,15 Dec 1999,192cm,89kg,Sandringham Dragons,Defender,NA
9,Noble,John,69,25yr 11mth,25 Mar 1997,180cm,73kg,West Adelaide,Defender,NA
10,Pendlebury,Scott,358,35yr 1mth,7 Jan 1988,191cm,90kg,Gippsland Power,Midfield,NA
3,Quaynor,Isaac,59,23yr 1mth,15 Jan 2000,180cm,84kg,Oakleigh Chargers,Defender,NA
29,Richards,Joe,0,23yr 3mth,23 Nov 1999,177cm,71kg,Wangaratta Football & Netball Club Inc,Midfield,Forward
21,Ruscoe,Trey,17,21yr 3mth,3 Nov 2001,193cm,92kg,East Fremantle,Defender,NA
